text,intent
List all high-priority Jira issues.,jira_ticket_status
Who is assigned to ticket HARRI-124?,jira_ticket_status
Get the summary for Jira task HARRI-125.,jira_ticket_status
What’s the current priority of ticket HARRI-127?,jira_ticket_status
Find all tickets assigned to Ahmed Ali.,jira_ticket_status
Show tickets assigned to 'adam_s'.,jira_ticket_status
Which ticket is blocking deployments?,jira_ticket_status
Give me open tickets related to backend.,jira_ticket_status
Display all critical Jira issues.,jira_ticket_status
Which tickets are pending review?,jira_ticket_status
Show tickets assigned to frontend engineers.,jira_ticket_status
List Jira tickets that failed QA.,jira_ticket_status
Which tasks are currently assigned to Lina?,jira_ticket_status
What is the highest priority issue open right now?,jira_ticket_status
Can you tell me the details of ticket HARRI-126?,jira_ticket_status
Find all tickets with ‘deployment’ in summary.,jira_ticket_status
Show me open tickets owned by backend leads.,jira_ticket_status
Which tickets are still unresolved?,jira_ticket_status
Give me all tickets marked as critical.,jira_ticket_status
Who’s working on ticket HARRI-128?,jira_ticket_status
What’s the progress on the dark mode ticket?,jira_ticket_status
List all medium-priority Jira tasks.,jira_ticket_status
Which tickets are assigned to the DevOps team?,jira_ticket_status
Show all tickets that mention ‘pipeline’.,jira_ticket_status
Which tasks are related to onboarding flow?,jira_ticket_status
Check all issues owned by ‘fatima_k’.,jira_ticket_status
Which tickets are waiting for deployment?,jira_ticket_status
What is the status of the payments issue?,jira_ticket_status
List tickets created this week.,jira_ticket_status
Find any ticket related to CI/CD.,jira_ticket_status
Show in-progress Jira tickets.,jira_ticket_status
Which open tickets have critical priority?,jira_ticket_status
Get details of ticket HARRI-129.,jira_ticket_status
Who’s handling the onboarding bug?,jira_ticket_status
Find tickets currently assigned to Leen.,jira_ticket_status
List all open and high-priority issues.,jira_ticket_status
"yo, what’s up with HARRI-128?",jira_ticket_status
hey check HARRI-125 please,jira_ticket_status
any update on the deployment ticket?,jira_ticket_status
can you pull jira status for onboarding bug?,jira_ticket_status
what’s happening with the pipeline task?,jira_ticket_status
pls show all open jira issues,jira_ticket_status
need to see tickets assigned to adam,jira_ticket_status
status for harri 123?,jira_ticket_status
which tickets are stuck?,jira_ticket_status
show everything tagged critical,jira_ticket_status
how do i check jira ticket progress?,jira_ticket_status
where can i see open issues?,jira_ticket_status
find ticket details by id,jira_ticket_status
how do i know who owns a ticket?,jira_ticket_status
show pending work items in jira,jira_ticket_status
list recent jira tasks,jira_ticket_status
can i get all tickets for backend team?,jira_ticket_status
how to find who’s assigned to an issue?,jira_ticket_status
any tickets left unresolved?,jira_ticket_status
show jira board status,jira_ticket_status
get me all bug reports in jira,jira_ticket_status
which tasks are still open?,jira_ticket_status
find all project issues assigned to devops,jira_ticket_status
who’s responsible for CI/CD tickets?,jira_ticket_status
list all tasks related to frontend dashboard,jira_ticket_status
show bugs tagged with high severity,jira_ticket_status
fetch jira data for payments service,jira_ticket_status
who is handling open tasks in engineering?,jira_ticket_status
get open tickets per assignee,jira_ticket_status
which jira items are waiting review?,jira_ticket_status
list all unassigned tickets,jira_ticket_status
show me jira issues by priority,jira_ticket_status
any ticket for adam_s marked critical?,jira_ticket_status
check progress on all tasks tagged ‘onboarding’,jira_ticket_status
give jira summary for all open work items,jira_ticket_status
which issues are under testing phase?,jira_ticket_status
find jira entries that mention docker,jira_ticket_status
show me jira updates for this sprint,jira_ticket_status
tickets waiting for QA approval?,jira_ticket_status
what tickets are marked as failed?,jira_ticket_status
give me jira task details for harri 126,jira_ticket_status
how many issues are currently active?,jira_ticket_status
list open jira issues assigned to QA,jira_ticket_status
show unresolved bugs in project,jira_ticket_status
any tickets tagged deployment?,jira_ticket_status
show recent jira tickets related to onboarding,jira_ticket_status
fetch jira ticket HARRI-124 info,jira_ticket_status
Show me the latest deployment status.,deployment_history
What was the result of the last deployment?,deployment_history
List all recent deployments.,deployment_history
Which deployments failed this week?,deployment_history
When was the last successful deployment for payments?,deployment_history
Give me deployment details for the backend service.,deployment_history
What version was deployed for onboarding?,deployment_history
Show all successful deployments in July.,deployment_history
Which service had a failed deployment recently?,deployment_history
List deployments for the frontend application.,deployment_history
Find the deployment history for onboarding service.,deployment_history
Get the latest version deployed to production.,deployment_history
Which deployments were successful today?,deployment_history
What’s the status of the latest backend release?,deployment_history
Show me deployment logs for payments service.,deployment_history
Which deployments happened on July 5th?,deployment_history
Find failed deployments from last month.,deployment_history
Get me all deployment versions for backend.,deployment_history
List deployments sorted by date.,deployment_history
Show successful production deployments.,deployment_history
When was the onboarding app last updated?,deployment_history
Which services were deployed this week?,deployment_history
Show all production deployment results.,deployment_history
Which deployment had errors?,deployment_history
Find deployment results by service name.,deployment_history
What’s the latest deployment version for frontend?,deployment_history
Get details of backend deployments in July.,deployment_history
Show recent production rollouts.,deployment_history
Find deployment records for payments.,deployment_history
Which deployment versions failed recently?,deployment_history
Get list of all deployment attempts.,deployment_history
What deployments succeeded on July 1st?,deployment_history
Show me the most recent release notes.,deployment_history
Which environments had new deployments today?,deployment_history
Find all deployments made in July 2025.,deployment_history
Which deployment failed for backend v3.4.9?,deployment_history
Show all deployments by service type.,deployment_history
Find deployments tagged as successful.,deployment_history
List every service deployed recently.,deployment_history
When was the backend last deployed successfully?,deployment_history
"yo, did the last deployment go fine?",deployment_history
any failed deploys today?,deployment_history
what’s up with the payments deployment?,deployment_history
show me what got deployed last night,deployment_history
did onboarding deploy successfully?,deployment_history
pls pull the last few deployments,deployment_history
was there a failed deployment this morning?,deployment_history
show history for backend releases,deployment_history
did the frontend push go through?,deployment_history
what version got deployed today?,deployment_history
how do i check recent deployments?,deployment_history
where can i see deployment results?,deployment_history
find deployment history by service name,deployment_history
any deployments made recently?,deployment_history
how do i know if deployment succeeded?,deployment_history
list all past deployment activities,deployment_history
can i get status of last few releases?,deployment_history
show timeline of deployments,deployment_history
get deployment summary for this week,deployment_history
find out which versions are live now,deployment_history
show devops deployment log,deployment_history
list production releases from last week,deployment_history
get release data for all services,deployment_history
fetch deployment summary for staging,deployment_history
what services were deployed yesterday?,deployment_history
pull history of production pushes,deployment_history
show all app versions currently deployed,deployment_history
which deployments were rolled back?,deployment_history
get me all deployment attempts for backend,deployment_history
was there a rollback recently?,deployment_history
show me all July deployments sorted by status,deployment_history
any deployments failed during July 2025?,deployment_history
find deployment results for frontend service,deployment_history
show list of all staging deployments,deployment_history
was payments deployed successfully on July 5?,deployment_history
which releases were marked successful?,deployment_history
show recent release activity across services,deployment_history
pull up the deployment summary for onboarding,deployment_history
which version of backend was deployed most recently?,deployment_history
what deployments occurred between June 27 and July 5?,deployment_history
any failed rollouts reported?,deployment_history
show latest deployment outcome for each service,deployment_history
get last deployment version of every app,deployment_history
list deployment dates for payments,deployment_history
who triggered the latest deployment?,deployment_history
when did backend v3.5.0 go live?,deployment_history
